Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,20,1,750,704.0,24.83,20.1,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,21,1,750,1036.7,20.1,21.45,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,22,1,750,1087.5,21.45,22.55,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,23,1,750,1111.3,22.55,24.9,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,24,1,750,1138.6,24.9,25.16,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,25,1,750,1073.9,25.16,27.56,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,26,1,750,1065.4,27.56,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,27,1,750,984.5,30.0,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,28,1,750,824.4,30.0,29.72,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,29,1,750,1037.6,29.72,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,30,1,750,1055.3,30.0,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,31,1,750,1126.0,30.0,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,32,1,750,892.4,30.0,28.98,0.0,83.73,0.0,83.73,1,750,0.0,83.73,77.12,6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,33,1,750,941.8,28.98,30.0,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,34,1,750,463.6,30.0,26.17,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,35,1,750,1052.0,26.17,28.04,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,36,1,750,355.7,28.04,12.99,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,37,1,750,952.1,12.99,13.45,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,38,1,750,1023.8,13.45,13.62,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,39,1,750,960.6,13.62,13.43,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,40,1,750,955.9,13.43,12.51,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,41,1,750,880.2,12.51,14.59,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,42,1,750,1063.0,14.59,17.12,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,43,1,750,934.7,17.12,18.09,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,44,1,750,994.6,18.09,18.64,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,45,1,750,1000.9,18.64,20.85,0.0,83.73,0.0,83.73,3,1850,0.146,95.49,89.71,-5.97999999999999,-0.146,0
Proposed,bigbuckbunny,0,46,1,750,858.9,20.85,23.13,0.0,83.73,0.0,83.73,3,1850,0.25,95.49,94.41,-10.679999999999993,-0.25,0
Proposed,bigbuckbunny,0,47,1,750,1103.0,23.13,25.81,0.0,83.73,0.0,83.73,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,1,0,0,300,587.0,2.88,4.0,1.374,66.58,0.0,60.67,0,300,1.374,66.58,60.67,0.0,0.0,1
Proposed,bigbuckbunny,1,1,0,300,787.1,4.0,7.03,0.0,66.58,0.0,66.58,1,750,0.0,83.73,66.58,0.0,0.0,0
Proposed,bigbuckbunny,1,2,0,300,677.6,7.03,9.38,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,3,1,750,650.6,9.38,10.21,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,4,1,750,725.7,10.21,9.16,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,5,1,750,824.8,9.16,11.46,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,6,1,750,252.3,11.46,10.6,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,7,1,750,761.1,10.6,13.03,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,8,1,750,502.5,13.03,10.33,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,9,1,750,618.3,10.33,11.67,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,10,1,750,583.5,11.67,13.44,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,11,1,750,488.0,13.44,12.67,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,12,0,300,778.7,12.67,14.07,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,1,13,1,750,653.2,14.07,14.85,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,14,1,750,587.3,14.85,13.29,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,15,1,750,472.8,13.29,11.91,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,16,0,300,790.7,11.91,12.2,0.0,66.58,17.15,49.43,1,750,5.211,83.73,61.32,-11.89,-5.211,0
Proposed,bigbuckbunny,1,17,0,300,576.4,12.2,13.62,0.0,66.58,0.0,66.58,1,750,2.441,83.73,73.24,-6.659999999999997,-2.441,0
Proposed,bigbuckbunny,1,18,0,300,793.4,13.62,15.68,0.0,66.58,0.0,66.58,1,750,0.849,83.73,80.08,-13.5,-0.849,0
Proposed,bigbuckbunny,1,19,1,750,446.8,15.68,13.17,0.0,83.73,17.15,66.58,1,750,2.51,83.73,72.94,-6.359999999999999,-2.51,1
Proposed,bigbuckbunny,1,20,0,300,561.7,13.17,12.79,0.0,66.58,17.15,49.43,1,750,6.944,83.73,53.87,-4.439999999999998,-6.944,0
Proposed,bigbuckbunny,1,21,0,300,529.7,12.79,14.72,0.0,66.58,0.0,66.58,1,750,1.188,83.73,78.62,-12.040000000000006,-1.188,0
Proposed,bigbuckbunny,1,22,0,300,362.6,14.72,15.24,0.0,66.58,0.0,66.58,1,750,4.687,83.73,63.58,3.0,-4.687,0
Proposed,bigbuckbunny,1,23,0,300,712.6,15.24,18.21,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,24,0,300,475.3,18.21,18.63,0.0,66.58,0.0,66.58,1,750,3.53,83.73,68.55,-1.9699999999999989,-3.53,0
Proposed,bigbuckbunny,1,25,1,750,474.9,18.63,19.01,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,26,1,750,616.4,19.01,20.33,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,27,1,750,428.1,20.33,19.48,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,28,1,750,475.6,19.48,16.06,0.0,83.73,0.0,83.73,1,750,2.571,83.73,72.68,11.049999999999997,-2.571,1
Proposed,bigbuckbunny,1,29,1,750,809.7,16.06,18.23,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,30,1,750,699.9,18.23,19.48,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,31,1,750,420.5,19.48,17.66,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,32,1,750,473.9,17.66,12.21,0.0,83.73,0.0,83.73,1,750,3.848,83.73,67.18,16.549999999999997,-3.848,1
Proposed,bigbuckbunny,1,33,1,750,654.6,12.21,12.94,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,34,1,750,689.7,12.94,11.67,0.0,83.73,0.0,83.73,1,750,0.539,83.73,81.41,2.3200000000000074,-0.539,1
Proposed,bigbuckbunny,1,35,1,750,677.2,11.67,12.36,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,36,0,300,444.9,12.36,10.27,0.0,66.58,17.15,49.43,1,750,10.542,83.73,38.4,11.030000000000001,-10.542,0
Proposed,bigbuckbunny,1,37,0,300,795.5,10.27,12.58,0.0,66.58,0.0,66.58,1,750,0.227,83.73,82.75,-16.17,-0.227,0
Proposed,bigbuckbunny,1,38,0,300,664.8,12.58,14.22,0.0,66.58,0.0,66.58,1,750,1.897,83.73,75.57,-8.989999999999995,-1.897,0
Proposed,bigbuckbunny,1,39,0,300,743.5,14.22,16.05,0.0,66.58,0.0,66.58,1,750,1.422,83.73,77.62,-11.040000000000006,-1.422,0
Proposed,bigbuckbunny,1,40,0,300,649.3,16.05,17.15,0.0,66.58,0.0,66.58,1,750,3.245,83.73,69.78,-3.200000000000003,-3.245,0
Proposed,bigbuckbunny,1,41,1,750,598.7,17.15,18.34,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,42,1,750,981.2,18.34,20.74,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,43,1,750,1001.1,20.74,21.91,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,44,1,750,505.3,21.91,19.11,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,45,1,750,571.6,19.11,20.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,46,1,750,594.1,20.0,21.5,0.0,83.73,0.0,83.73,3,1850,1.172,95.49,85.3,-1.5699999999999932,-1.172,0
Proposed,bigbuckbunny,1,47,1,750,930.5,21.5,23.94,0.0,83.73,0.0,83.73,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,2,0,0,300,1126.0,1.25,4.0,0.969,66.58,0.0,62.41,1,750,4.293,83.73,65.27,-2.8599999999999994,-3.3240000000000003,0
Proposed,bigbuckbunny,2,1,1,750,892.4,4.0,5.87,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,2,1,750,941.8,5.87,6.89,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,3,1,750,463.6,6.89,6.44,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,4,0,300,1052.0,6.44,9.05,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,2,5,1,750,355.7,9.05,9.11,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,6,1,750,952.1,9.11,11.82,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,7,1,750,1023.8,11.82,14.65,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,8,1,750,960.6,14.65,15.15,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,9,1,750,955.9,15.15,17.43,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,10,1,750,880.2,17.43,19.95,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,11,1,750,1063.0,19.95,21.76,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,12,1,750,934.7,21.76,20.34,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,13,1,750,994.6,20.34,22.23,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,14,1,750,1000.9,22.23,22.96,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,15,1,750,858.9,22.96,24.0,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,16,1,750,1103.0,24.0,21.35,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,17,1,750,966.8,21.35,21.51,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,18,1,750,810.4,21.51,20.76,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,19,1,750,971.9,20.76,21.77,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,20,1,750,704.0,21.77,17.03,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,21,1,750,1036.7,17.03,18.38,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,22,1,750,1087.5,18.38,19.49,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,23,1,750,1111.3,19.49,21.83,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,24,1,750,1138.6,21.83,22.1,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,25,1,750,1073.9,22.1,24.5,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,26,1,750,1065.4,24.5,26.95,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,27,1,750,984.5,26.95,28.84,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,28,1,750,824.4,28.84,28.56,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,29,1,750,1037.6,28.56,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,30,1,750,1055.3,30.0,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,31,1,750,1126.0,30.0,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,32,1,750,892.4,30.0,28.98,0.0,83.73,0.0,83.73,1,750,0.0,83.73,77.12,6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,33,1,750,941.8,28.98,30.0,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,34,1,750,463.6,30.0,26.17,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,35,1,750,1052.0,26.17,28.04,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,36,1,750,355.7,28.04,12.99,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,37,1,750,952.1,12.99,13.45,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,38,1,750,1023.8,13.45,13.62,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,39,1,750,960.6,13.62,13.43,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,40,1,750,955.9,13.43,12.51,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,41,1,750,880.2,12.51,14.59,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,42,1,750,1063.0,14.59,17.12,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,43,1,750,934.7,17.12,18.09,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,44,1,750,994.6,18.09,18.64,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,45,1,750,1000.9,18.64,20.85,0.0,83.73,0.0,83.73,3,1850,0.146,95.49,89.71,-5.97999999999999,-0.146,0
Proposed,bigbuckbunny,2,46,1,750,858.9,20.85,23.13,0.0,83.73,0.0,83.73,3,1850,0.25,95.49,94.41,-10.679999999999993,-0.25,0
Proposed,bigbuckbunny,2,47,1,750,1103.0,23.13,25.81,0.0,83.73,0.0,83.73,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,3,0,0,300,1070.0,1.09,4.0,1.24,66.58,0.0,61.25,1,750,4.737,83.73,63.36,-2.1099999999999994,-3.497,0
Proposed,bigbuckbunny,3,1,1,750,1465.1,4.0,6.7,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,3,2,1,750,835.4,6.7,7.34,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,3,0,300,338.2,7.34,8.9,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,3,4,0,300,799.4,8.9,11.07,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,3,5,1,750,852.7,11.07,13.43,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,3,6,1,750,608.4,13.43,15.41,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,7,1,750,376.5,15.41,16.23,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,8,1,750,1048.2,16.23,17.02,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,9,1,750,869.5,17.02,19.13,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,10,1,750,861.3,19.13,21.61,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,11,1,750,846.7,21.61,22.86,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,12,1,750,598.8,22.86,18.41,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,13,1,750,608.7,18.41,18.95,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,14,1,750,797.1,18.95,18.86,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,15,1,750,1016.9,18.86,20.36,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,16,1,750,1018.2,20.36,17.14,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,17,1,750,1221.8,17.14,18.1,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,18,1,750,1244.0,18.1,19.01,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,19,1,750,967.8,19.01,20.01,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,20,1,750,1259.1,20.01,19.12,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,21,1,750,1059.4,19.12,20.53,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,22,1,750,1076.0,20.53,21.6,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,23,1,750,1209.8,21.6,24.08,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,24,1,750,901.4,24.08,23.36,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,25,1,750,854.8,23.36,25.35,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,3,26,1,750,839.1,25.35,27.38,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,27,1,750,1088.7,27.38,29.48,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,28,1,750,1224.0,29.48,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
